2026-04-05 09:11:37,486 - INFO - Batch 0 | Data: 0.127s | Step: 0.721s | Loss: 46.9738
2026-04-05 09:11:50,795 - INFO - Batch 50 | Data: 0.000s | Step: 0.116s | Loss: 5.3605
2026-04-05 09:12:04,159 - INFO - Batch 100 | Data: 0.000s | Step: 0.117s | Loss: 4.8999
2026-04-05 09:12:17,530 - INFO - Batch 150 | Data: 0.000s | Step: 0.117s | Loss: 4.8389
2026-04-05 09:12:30,955 - INFO - Batch 200 | Data: 0.000s | Step: 0.117s | Loss: 4.3846
2026-04-05 09:12:44,383 - INFO - Batch 250 | Data: 0.000s | Step: 0.117s | Loss: 3.8725
2026-04-05 09:12:57,811 - INFO - Batch 300 | Data: 0.000s | Step: 0.117s | Loss: 4.0547
2026-04-05 09:13:11,243 - INFO - Batch 350 | Data: 0.000s | Step: 0.118s | Loss: 3.8633
2026-04-05 09:13:32,975 - INFO - Batch 0 | Data: 0.046s | Step: 0.119s | Loss: 3.9190
2026-04-05 09:13:46,410 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 3.9573
2026-04-05 09:13:59,840 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 3.7791
2026-04-05 09:14:13,270 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 4.0054
2026-04-05 09:14:26,702 - INFO - Batch 200 | Data: 0.001s | Step: 0.117s | Loss: 3.7322
2026-04-05 09:14:40,134 - INFO - Batch 250 | Data: 0.001s | Step: 0.117s | Loss: 3.6446
2026-04-05 09:14:53,567 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 3.6851
2026-04-05 09:15:07,003 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 3.8207
2026-04-05 09:15:27,482 - INFO - Batch 0 | Data: 0.060s | Step: 0.117s | Loss: 3.5650
2026-04-05 09:15:40,913 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 3.9523
2026-04-05 09:15:54,349 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 3.5971
2026-04-05 09:16:07,784 - INFO - Batch 150 | Data: 0.001s | Step: 0.117s | Loss: 3.6578
2026-04-05 09:16:21,221 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 3.9016
2026-04-05 09:16:34,659 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 3.6167
2026-04-05 09:16:48,098 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 3.5562
2026-04-05 09:17:01,535 - INFO - Batch 350 | Data: 0.000s | Step: 0.117s | Loss: 4.0079
2026-04-05 09:17:22,140 - INFO - Batch 0 | Data: 0.045s | Step: 0.118s | Loss: 3.6386
2026-04-05 09:17:35,575 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 3.5933
2026-04-05 09:17:49,019 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 3.6185
2026-04-05 09:18:02,456 - INFO - Batch 150 | Data: 0.001s | Step: 0.117s | Loss: 3.6171
2026-04-05 09:18:15,892 - INFO - Batch 200 | Data: 0.001s | Step: 0.117s | Loss: 3.4443
2026-04-05 09:18:29,333 - INFO - Batch 250 | Data: 0.001s | Step: 0.117s | Loss: 3.5983
2026-04-05 09:18:42,776 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 3.6116
2026-04-05 09:18:56,214 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 3.5845
2026-04-05 09:19:16,917 - INFO - Batch 0 | Data: 0.057s | Step: 0.117s | Loss: 3.5576
2026-04-05 09:19:30,377 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 3.4813
2026-04-05 09:19:43,838 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 3.5324
2026-04-05 09:19:57,301 - INFO - Batch 150 | Data: 0.000s | Step: 0.118s | Loss: 3.3944
2026-04-05 09:20:10,765 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 3.3813
2026-04-05 09:20:24,232 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 3.5531
2026-04-05 09:20:37,689 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 3.4336
2026-04-05 09:20:51,149 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 3.2385
2026-04-05 09:21:12,149 - INFO - Batch 0 | Data: 0.039s | Step: 0.118s | Loss: 3.6595
2026-04-05 09:21:25,593 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 3.2059
2026-04-05 09:21:39,056 - INFO - Batch 100 | Data: 0.000s | Step: 0.118s | Loss: 3.2101
2026-04-05 09:21:52,517 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 3.1563
2026-04-05 09:22:05,981 - INFO - Batch 200 | Data: 0.001s | Step: 0.117s | Loss: 3.0559
2026-04-05 09:22:19,440 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 3.0848
2026-04-05 09:22:32,898 - INFO - Batch 300 | Data: 0.001s | Step: 0.117s | Loss: 3.1423
2026-04-05 09:22:46,359 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 3.1232
2026-04-05 09:23:07,544 - INFO - Batch 0 | Data: 0.053s | Step: 0.117s | Loss: 3.0831
2026-04-05 09:23:20,999 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 3.0048
2026-04-05 09:23:34,456 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 3.1881
2026-04-05 09:23:47,915 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 3.2055
2026-04-05 09:24:01,373 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 2.9762
2026-04-05 09:24:14,834 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 3.0058
